0001 Sneaker
0002 SlowSneaker
0003 Bunny
0004 Spinner
0005 LedgeWalker
0006 Checkpoint
0007 MovingPlatformHorizontal
0008 MovingPlatformLine
0009 MovingPlatformPush
000a MovingPlatformDiagonalUp
000b MovingPlatformDiagonalDown
000c MovingPlatformVertical
0100 FireJump
0101 FireWalk
0102 FireFox
0103 Grillbert
0104 George
0105 BurgerCannonH
0106 BurgerCannonV
0107 BounceGuy
0108 SmashGuy
0109 BomberTree
010a MirrorRabbit
010b Boulder
010c BubbleBuddy
010d BubbleMoai
010e SkateboardMoai
010f BubbleCat
0200 BubbleWizard
0201 BurgerRider
0203 EnemyGlider
0204 EnemyLWSS
0300 KnuckleSandwich
0301 KnuckleSandwichSign
0302 PumpkinBoat
0303 RidableBoat
0304 PumpkinMan
0305 Pumpkin
0306 SwordSlime
0307 Dave
0308 StrifeCloud
0309 BurgerRiderJumper
0400 LoadActorsAhead
0500 Spring
0501 Money
0504 Heart
0505 SmallHeart
